"Time","persistent cough"
"2021-07-01",48
"2021-08-01",43
"2021-09-01",45
"2021-10-01",54
"2021-11-01",57
"2021-12-01",52
"2022-01-01",61
"2022-02-01",53
"2022-03-01",47
"2022-04-01",60
"2022-05-01",66
"2022-06-01",59
"2022-07-01",58
"2022-08-01",49
"2022-09-01",44
"2022-10-01",69
"2022-11-01",69
"2022-12-01",88
"2023-01-01",67
"2023-02-01",55
"2023-03-01",57
"2023-04-01",46
"2023-05-01",55
"2023-06-01",52
"2023-07-01",56
"2023-08-01",52
"2023-09-01",49
"2023-10-01",65
"2023-11-01",89
"2023-12-01",77
"2024-01-01",67
"2024-02-01",58
"2024-03-01",56
"2024-04-01",49
"2024-05-01",31
"2024-06-01",52
"2024-07-01",42
"2024-08-01",23
"2024-09-01",52
"2024-10-01",58
"2024-11-01",72
"2024-12-01",64
"2025-01-01",60
"2025-02-01",72
"2025-03-01",54
"2025-04-01",56
"2025-05-01",45
"2025-06-01",46
"2025-07-01",45
"2025-08-01",37
"2025-09-01",46
"2025-10-01",59
"2025-11-01",68
"2025-12-01",89
"2026-01-01",68
"2026-02-01",63
"2026-03-01",100
"2026-04-01",69
"2026-05-01",82
"2026-06-01",77
