date,mucus cough,isPartial
2017-12-31,84,False
2018-01-07,74,False
2018-01-14,67,False
2018-01-21,54,False
2018-01-28,58,False
2018-02-04,89,False
2018-02-11,60,False
2018-02-18,56,False
2018-02-25,53,False
2018-03-04,48,False
2018-03-11,49,False
2018-03-18,31,False
2018-03-25,38,False
2018-04-01,63,False
2018-04-08,56,False
2018-04-15,38,False
2018-04-22,46,False
2018-04-29,45,False
2018-05-06,48,False
2018-05-13,54,False
2018-05-20,43,False
2018-05-27,46,False
2018-06-03,42,False
2018-06-10,38,False
2018-06-17,36,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,32,False
2018-08-12,37,False
2018-08-19,26,False
2018-08-26,36,False
2018-09-02,28,False
2018-09-09,33,False
2018-09-16,51,False
2018-09-23,41,False
2018-09-30,75,False
2018-10-07,49,False
2018-10-14,49,False
2018-10-21,51,False
2018-10-28,63,False
2018-11-04,38,False
2018-11-11,55,False
2018-11-18,51,False
2018-11-25,75,False
2018-12-02,62,False
2018-12-09,59,False
2018-12-16,79,False
2018-12-23,87,False
2018-12-30,100,False
2019-01-06,65,False
2019-01-13,52,False
2019-01-20,54,False
2019-01-27,63,False
2019-02-03,57,False
2019-02-10,55,False
2019-02-17,43,False
2019-02-24,45,False
2019-03-03,48,False
2019-03-10,40,False
2019-03-17,62,False
2019-03-24,50,False
2019-03-31,41,False
2019-04-07,52,False
2019-04-14,36,False
2019-04-21,45,False
2019-04-28,43,False
2019-05-05,43,False
2019-05-12,51,False
2019-05-19,54,False
2019-05-26,49,False
2019-06-02,45,False
2019-06-09,44,False
2019-06-16,31,False
2019-06-23,20,False
2019-06-30,40,False
2019-07-07,42,False
2019-07-14,38,False
2019-07-21,33,False
2019-07-28,28,False
2019-08-04,36,False
2019-08-11,24,False
2019-08-18,32,False
2019-08-25,42,False
2019-09-01,30,False
2019-09-08,34,False
